cest;ncm
25.016.00;8704.21.30
25.017.00;8704.21.90
25.018.00;8704.31.10
25.019.00;8704.31.20
25.020.00;8704.31.30
25.021.00;8704.31.90
26.001.00;8711
28.001.00;3303.00.10
28.002.00;3303.00.20
28.003.00;3304.10.00
28.004.00;3304.20.10
28.005.00;3304.20.90
28.006.00;3304.30.00
28.007.00;3304.91.00
28.008.00;3304.99.10
28.009.00;3304.99.90
28.010.00;3304.99.90
28.011.00;3305.10.00
28.012.00;3305.20.00
28.013.00;3305.90.00
28.014.00;3305.90.00
28.015.00;3307.10.00
28.016.00;3307.20.10
28.017.00;3307.20.90
28.018.00;3307.90.00
28.019.00;3307.90.00
28.020.00;3401.11.90
28.021.00;3401.19.00
28.022.00;3401.20.10
28.023.00;3401.30.00
28.024.00;4818.20.00
28.024.01;4818.20.00
28.025.00;8214.10.00
28.025.01;8214.10.00
28.025.02;8214.10.00
28.026.00;8214.20.00
28.027.00;9603.29.00
28.027.01;9603.29.00
28.028.00;9603.30.00
28.028.01;9603.30.00
28.029.00;9616.10.00
28.030.00;9616.20.00
28.031.00;4202
28.031.00;1
28.032.00;9615
28.033.00;3923.30.00
28.033.00;3924.90.00
