codigo;uf;ex;nacionalfe;importados;estadual;municipal
05119930;SP;;13.45;15.45;18.00;0.00
05119991;SP;;13.45;15.53;18.00;0.00
05119999;SP;;13.45;15.53;18.00;0.00
06011000;SP;;4.20;6.20;0.00;0.00
06012000;SP;;4.20;6.20;0.00;0.00
06021000;SP;;13.45;15.47;18.00;0.00
06022000;SP;;13.45;15.47;18.00;0.00
06023000;SP;;13.45;15.47;18.00;0.00
06024000;SP;;13.45;15.47;18.00;0.00
06029010;SP;;13.45;15.47;18.00;0.00
06029021;SP;;4.20;6.20;0.00;0.00
06029029;SP;;4.20;6.20;0.00;0.00
06029081;SP;;4.20;6.20;0.00;0.00
06029082;SP;;4.20;6.20;0.00;0.00
06029083;SP;;4.20;6.20;0.00;0.00
06029089;SP;;4.20;6.20;0.00;0.00
06029090;SP;;13.45;15.47;18.00;0.00
06031100;SP;;13.45;15.54;18.00;0.00
06031200;SP;;13.45;15.54;18.00;0.00
06031300;SP;;13.45;15.54;18.00;0.00
06031400;SP;;13.45;15.54;18.00;0.00
06031500;SP;;13.45;15.54;18.00;0.00
06031900;SP;;13.45;15.54;18.00;0.00
06039000;SP;;13.45;15.54;18.00;0.00
06042000;SP;;13.45;15.53;18.00;0.00
06049000;SP;;13.45;15.53;18.00;0.00
07011000;SP;;4.20;6.20;18.00;0.00
07019000;SP;;4.20;6.29;18.00;0.00
07020000;SP;;4.20;6.29;18.00;0.00
07031011;SP;;4.20;6.20;18.00;0.00
07031019;SP;;4.20;6.29;18.00;0.00
07031021;SP;;4.20;6.20;18.00;0.00
07031029;SP;;4.20;6.29;18.00;0.00
07032010;SP;;4.20;6.20;7.00;0.00
07032090;SP;;4.20;6.46;7.00;0.00
07039010;SP;;4.20;6.20;18.00;0.00
07039090;SP;;4.20;6.29;18.00;0.00
07041000;SP;;4.20;6.29;18.00;0.00
07042000;SP;;4.20;6.29;18.00;0.00
07049000;SP;;4.20;6.29;18.00;0.00
07051100;SP;;4.20;6.29;18.00;0.00
07051900;SP;;4.20;6.29;18.00;0.00
07052100;SP;;4.20;6.29;18.00;0.00
07052900;SP;;4.20;6.29;18.00;0.00
07061000;SP;;4.20;6.29;18.00;0.00
07069000;SP;;4.20;6.29;18.00;0.00
07070000;SP;;4.20;6.29;18.00;0.00
07081000;SP;;4.20;6.29;0.00;0.00
07082000;SP;;4.20;6.29;0.00;0.00
07089000;SP;;4.20;6.29;0.00;0.00
07092000;SP;;4.20;6.29;18.00;0.00
07093000;SP;;4.20;6.29;18.00;0.00
07094000;SP;;4.20;6.29;18.00;0.00
07095100;SP;;4.20;6.29;18.00;0.00
07095900;SP;;4.20;6.29;18.00;0.00
07096000;SP;;4.20;6.29;18.00;0.00
07097000;SP;;4.20;6.29;18.00;0.00
07099100;SP;;4.20;6.29;18.00;0.00
07099200;SP;;4.20;6.29;18.00;0.00
07099300;SP;;4.20;6.29;18.00;0.00
07099911;SP;;4.20;6.20;18.00;0.00
07099919;SP;;4.20;6.29;18.00;0.00
07099990;SP;;4.20;6.29;18.00;0.00
07101000;SP;;4.20;15.29;18.00;0.00
07102100;SP;;4.20;15.29;18.00;0.00
07102200;SP;;4.20;15.29;0.00;0.00
07102900;SP;;4.20;15.29;18.00;0.00
07103000;SP;;4.20;15.29;18.00;0.00
07104000;SP;;4.20;15.29;18.00;0.00
07108000;SP;;4.20;15.29;18.00;0.00
07109000;SP;;4.20;15.29;18.00;0.00
07112010;SP;;4.20;6.29;18.00;0.00
07112020;SP;;4.20;6.29;18.00;0.00
07112090;SP;;4.20;6.29;18.00;0.00
